State,Population_Total,Population_Voting,Median_Age,Diversity_Metric,Average_Income,Total_Votes,Republican_Votes,Democrat_Votes
Alabama,"5,024,279","3,917,166",39.7,35.9022,"63,980","2,290,794",62.9114,37.0886
Alaska,"733,391","554,003",35.6,40.633,"87,440","343,729",55.2618,44.7382
Arizona,"7,151,502","5,541,976",38.9,39.5604,"78,480","3,333,829",49.8432,50.1568
Arkansas,"3,011,524","2,312,273",38.8,29.786,"59,400","1,184,579",64.2124,35.7876
California,"39,538,223","15,093,524",37.5,58.7839,"90,840","17,116,679",35.0911,64.9089
Colorado,"5,773,714","4,509,576",37.2,29.2842,"98,010","3,168,959",43.0617,56.9383
Connecticut,"3,605,944","2,869,227",41.1,33.5783,"92,930","1,795,548",60.195,39.805
Delaware,"989,948","783,543",41.1,39.6167,"81,920","496,871",40.3733,59.6267
Florida,"21,538,187","17,339,232",43,42.3212,"67,570","10,965,776",51.6948,48.3052
Georgia,"10,711,908","8,220,274",37.5,48.1373,"69,330","4,935,487",49.8807,50.1193
Hawaii,"1,455,271","1,155,905",40.8,77.0997,"94,560","562,994",34.9673,65.0327
Idaho,"1,839,106","1,376,400",36.8,17.8753,"78,060","841,140",65.8771,34.1229
Illinois,"12,812,508","9,999,469",38.8,38.5895,"86,960","5,918,806",58.659,41.341
Indiana,"6,785,528","5,192,579",38.2,22.7504,"78,150","2,972,355",58.1982,41.8018
Iowa,"3,190,369","2,450,103",38.6,15.542,"80,510","1,656,733",54.1833,45.8167
Kansas,"2,937,880","2,229,316",37.4,24.3515,"85,500","1,341,729",57.49436,42.5066
Kentucky,"4,505,836","3,438,900",39.4,17.6345,"66,400","2,099,120",63.2001,36.7999
Louisiana,"4,657,757","3,570,548",38.1,42.9414,"59,880","2,111,810",59.4644,40.5356
Maine,"1,362,359","1,110,085",45.1,9.1986,"74,510","795,809",45.3296,54.6704
Massachussets,"7,029,917","5,663,723",39.9,30.3527,"102,700","3,549,404",32.8845,67.1156
Michigan,"10,077,331","7,914,602",40.1,26.1216,"75,330","5,453,892",48.5864,51.4136
Minnesota,"5,706,494","4,389,033",38.4,22.4893,"92,130","3,201,142",46.3605,53.6395
Mississippi,"2,961,279","2,277,599",39,43.9805,"52,800","1,296,162",58.385,41.615
Missouri,"6,154,913","4,775,612",39,22.9829,"72,740","2,971,750",57.8358,42.1642
Montana,"1,084,225","850,123",40.5,15.4674,"66,380","588,388",58.3972,41.6028
Nebraska,"1,961,504","1,476,127",36.9,21.5881,"84,520","931,429",59.7841,40.2159
Nevada,"3,104,614","2,413,326",38.6,48.8354,"71,550","1,373,376",48.7769,51.2231
New Hampshire,"1,377,529","1,120,680",43.6,11.7113,"104,000","790,597",46.2511,53.7489
New Jersey,"9,288,994","7,281,310",39.9,44.9641,"100,100","4,391,713",41.9286,58.0714
New Mexico,"2,117,522","1,638,989",39.2,49.0472,"59,550","903,508",44.4815,55.5185
New York,"20,201,249","16,088,135",39,44.8383,"80,320","8,496,883",38.2728,61.7272
North Carolina,"10,439,388","8,155,099",39.4,37.8464,"70,700","5,443,067",50.6842,49.3158
North Dakota,"779,094","596,093",35.8,17.0911,"75,010","350,497",67.2174,32.7826
Ohio,"11,799,448","9,207,562",39.8,23.0414,"70,640","5,833,999",54.0767,45.9233
Oklahoma,"3,959,353","3,010,698",37.3,36.4824,"61,380","1,524,170",66.94,33.06
Oregon,"4,237,256","3,370,652",39.9,25.2088,"89,910","2,298,831",41.6928,58.3072
Pennsylvania,"13,002,700","10,353,548",41,25.0103,"82,810","6,838,186",49.4029,50.5971
Rhode Island,"1,097,379","887,594",40.5,28.6555,"93,790","507,408",39.4006,60.5994
South Carolina,"5,118,425","4,014,460",40.5,36.632,"70,590","2,476,644",55.9266,44.0734
South Dakota,"886,667","669,255",37.7,19.323,"82,110","411,514",63.4348,36.5652
Tennessee,"6,910,840","5,384,473",39.1,27.781,"64,310","2,996,186",61.8278,38.1722
Texas,"29,145,505","21,866,700",35.6,49.8744,"80,020","11,149,473",52.8307,47.1693
Utah,"3,271,616","2,324,051",31.3,21.3412,"98,260","1,425,422",60.6936,39.3064
Vermont,"643,077","524,482",43.5,10.1583,"78,680","355,524",31.7008,68.2992
Virginia,"8,631,393","6,745,054",38.7,39.6522,"96,180","4,375,998",44.8453,55.1547
Washington,"7,705,281","6,024,689",38.1,33.4103,"95,180","3,954,263",40.0745,59.9255
West Virginia,"1,793,716","1,432,932",42.9,10.2004,"60,800","781,366",69.7985,30.2015
Wisconsin,"5,893,718","4,612,300",40.1,19.617,"78,860","3,241,050",49.6809,50.3191
Wyoming,"576,851","441,337",38.7,15.338,"76,570","267,050",72.4804,27.5196
Washington D.C.,"689,545","575,161",33.9,60.3805,"103,200","335,909",5.533,94.467
Maryland,"6,177,224","4,815,202",38.8,51.307,"110,900","2,961,437",32.971,67.029
